Lookup Term,Publication Date,Company
BTC,2018-07-01,BTCShort
ETH,2018-07-01,ETHShort
XRP,2018-07-01,XRPShort
BCH,2018-07-01,BCHShort
EOS,2018-07-01,EOSShort
LTC,2018-07-01,LTCShort
ADA,2018-07-01,ADAShort
XLM,2018-07-01,XLMShort
MIOTA,2018-07-01,MIOTAShort
IOT,2018-07-01,IOTShort
TRX,2018-07-01,TRXShort
NEO,2018-07-01,NEOShort
XMR,2018-07-01,XMRShort
DASH,2018-07-01,DASHShort
XEM,2018-07-01,XEMShort
VET,2018-07-01,VETShort
ETC,2018-07-01,ETCShort
BNB,2018-07-01,BNBShort
BCN,2018-07-01,BCNShort
QTUM,2018-07-01,QTUMShort
ZEC,2018-07-01,ZECShort
Bitcoin,2018-07-01,BTCLong
Ethereum,2018-07-01,ETHLong
Ripple,2018-07-01,XRPLong
Bitcoin Cash,2018-07-01,BCHLong
EOS,2018-07-01,EOSLong
Litecoin,2018-07-01,LTCLong
Cardano,2018-07-01,ADALong
Stellar,2018-07-01,XLMLong
IOTA,2018-07-01,MIOTALong
IOTA,2018-07-01,IOTLong
Tron,2018-07-01,TRXLong
Neo,2018-07-01,NEOLong
Monero,2018-07-01,XMRLong
Dash,2018-07-01,DASHLong
NEM,2018-07-01,XEMLong
VeChain,2018-07-01,VETLong
Ethereum Classic,2018-07-01,ETCLong
Binance Coin,2018-07-01,BNBLong
Bytecoin,2018-07-01,BCNLong
Qtum,2018-07-01,QTUMLong
Zcash,2018-07-01,ZECLong
$BTC,2018-07-01,BTC$Short
$ETH,2018-07-01,ETH$Short
$XRP,2018-07-01,XRP$Short
$BCH,2018-07-01,BCH$Short
$EOS,2018-07-01,EOS$Short
$LTC,2018-07-01,LTC$Short
$ADA,2018-07-01,ADA$Short
$XLM,2018-07-01,XLM$Short
$MIOTA,2018-07-01,MIOTA$Short
$IOT,2018-07-01,IOT$Short
$TRX,2018-07-01,TRX$Short
$NEO,2018-07-01,NEO$Short
$XMR,2018-07-01,XMR$Short
$DASH,2018-07-01,DASH$Short
$XEM,2018-07-01,XEM$Short
$VET,2018-07-01,VET$Short
$ETC,2018-07-01,ETC$Short
$BNB,2018-07-01,BNB$Short
$BCN,2018-07-01,BCN$Short
$QTUM,2018-07-01,QTUM$Short
$ZEC,2018-07-01,ZEC$Short
#BTC,2018-07-01,BTC#Short
#ETH,2018-07-01,ETH#Short
#XRP,2018-07-01,XRP#Short
#BCH,2018-07-01,BCH#Short
#EOS,2018-07-01,EOS#Short
#LTC,2018-07-01,LTC#Short
#ADA,2018-07-01,ADA#Short
#XLM,2018-07-01,XLM#Short
#MIOTA,2018-07-01,MIOTA#Short
#IOT,2018-07-01,IOT#Short
#TRX,2018-07-01,TRX#Short
#NEO,2018-07-01,NEO#Short
#XMR,2018-07-01,XMR#Short
#DASH,2018-07-01,DASH#Short
#XEM,2018-07-01,XEM#Short
#VET,2018-07-01,VET#Short
#ETC,2018-07-01,ETC#Short
#BNB,2018-07-01,BNB#Short
#BCN,2018-07-01,BCN#Short
#QTUM,2018-07-01,QTUM#Short
#ZEC,2018-07-01,ZEC#Short
