Lookup Term,Start,End,Company
#VEN,2016-05-01,2016-07-01,VEN#21
#VEN,2016-07-01,2016-09-01,VEN#22
#VEN,2016-09-01,2016-11-01,VEN#23
#VEN,2016-11-01,2016-12-31,VEN#24
#VEN,2017-01-01,2017-03-01,VEN#25
#VEN,2017-03-01,2017-05-01,VEN#26
#VEN,2017-05-01,2017-07-01,VEN#27
#VEN,2017-07-01,2017-09-01,VEN#28
#VEN,2017-09-01,2017-11-01,VEN#29
#VEN,2017-11-01,2017-12-31,VEN#30
#VEN,2018-01-01,2018-02-01,VEN#31
#VEN,2018-02-01,2018-03-01,VEN#32
#VEN,2018-03-01,2018-04-01,VEN#33
#VEN,2018-04-01,2018-05-01,VEN#34
#VEN,2018-05-01,2018-06-01,VEN#35
#VEN,2018-06-01,2018-07-01,VEN#36
#VEN,2018-07-01,2018-08-01,VEN#37
#VEN,2018-08-01,2018-09-01,VEN#38
#VEN,2018-09-01,2018-10-01,VEN#39
#VEN,2018-10-01,2018-11-01,VEN#40
#VEN,2018-11-01,2018-11-07,VEN#41
#VEN,2018-11-07,2018-11-14,VEN#42
