time,retweets,favorites,amount_of_tweets,sentiment,sentiwordnet,weighted_sentiment,weighted_sentiwordnet
2013-01-04 18:00:00,0,0,1,-1.0,0.0609375,-1.0,0.0609375
2013-01-05 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-05 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-05 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-05 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-06 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-06 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-06 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-06 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-07 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-07 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-07 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-07 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-08 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-08 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-08 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-08 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-09 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-09 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-09 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-09 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-10 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-10 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-10 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-10 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-11 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-11 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-11 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-11 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-12 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-12 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-12 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-12 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-13 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-13 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-13 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-13 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-14 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-14 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-14 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-14 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-15 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-15 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-15 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-15 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-16 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-16 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-16 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-16 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-17 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-17 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-17 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-17 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-18 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-18 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-18 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-18 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-19 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-19 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-19 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-19 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-20 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-20 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-20 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-20 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-21 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-21 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-21 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-21 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-22 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-22 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-22 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-22 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-23 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-23 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-23 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-23 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-24 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-24 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-24 12:00:00,0,0,1,-1.0,0.0008056640625,-1.0,0.0008056640625
2013-01-24 18:00:00,0,0,1,-1.0,0.0008056640625,-1.0,0.0008056640625
2013-01-25 00:00:00,0,0,2,-1.0,0.005920836975524476,-1.0,0.005920836975524476
2013-01-25 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-25 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-25 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-26 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2013-01-26 06:00:00,0,0,1,-1.0,0.0008056640625,-1.0,0.0008056640625
