time,retweets,favorites,amount_of_tweets,sentiment,sentiwordnet,weighted_sentiment,weighted_sentiwordnet
2013-01-06,5,2,35,0.17142857142857143,0.018696902578143944,0.175,0.020875570658880453
2013-01-11,5,1,37,-0.02702702702702703,0.013597354561988148,0.023809523809523808,0.01466369902400495
2013-01-16,6,1,41,-0.0975609756097561,0.006203606572756797,-0.0851063829787234,0.005795835321344675
2013-01-21,2,0,57,-0.03508771929824561,0.00928523389567402,-0.03389830508474576,0.00961718684775771
2013-01-26,7,2,56,-0.08928571428571429,0.00900416869354835,-0.07936507936507936,0.010224847146636138
2013-01-31,4,5,53,-0.09433962264150944,0.009757812715456142,-0.05263157894736842,0.009323540286912735
2013-02-05,0,1,57,-0.07017543859649122,0.010202304723153865,-0.07017543859649122,0.010202304723153865
2013-02-10,3,2,50,0.0,0.010261084020169777,0.0,0.012208390691925263
2013-02-15,10,5,67,0.16417910447761194,0.006982362163095302,0.23376623376623376,0.008758886207851958
2013-02-20,6,4,49,-0.10204081632653061,-0.0008001688319582149,-0.10909090909090909,-0.0001930872578032365
2013-02-25,0,2,51,-0.35294117647058826,0.011562609688651969,-0.35294117647058826,0.011562609688651969
2013-03-02,1,2,57,0.017543859649122806,0.007717940888666555,0.017241379310344827,0.007437929024140756
2013-03-07,14,7,81,0.024691358024691357,0.010241470484620768,-0.09473684210526316,0.011006883362771398
2013-03-12,9,13,54,0.09259259259259259,0.012632473176646142,0.047619047619047616,0.010513091093032964
2013-03-17,16,13,69,-0.043478260869565216,0.009821253729370313,-0.011764705882352941,0.00846175711581968
2013-03-22,35,11,79,0.0,0.015387320173954134,-0.02631578947368421,0.024536065786821756
2013-03-27,14,25,115,0.017391304347826087,0.019251369236318268,-0.046511627906976744,0.019004740772470864
2013-04-01,31,21,147,-0.14285714285714285,0.00964346833104564,-0.12921348314606743,0.009573643996960823
2013-04-06,59,48,242,-0.10330578512396695,0.01038335919302392,-0.14285714285714285,0.008941244952690837
2013-04-11,113,71,308,-0.14935064935064934,0.006311891928972479,-0.14489311163895488,0.005724941168035074
2013-04-16,53,40,434,-0.33410138248847926,0.007513566715398678,-0.3326488706365503,0.007908959158857913
2013-04-21,90,40,273,-0.08424908424908426,-0.0003162332405822298,-0.046831955922865015,-0.005100277336083878
2013-04-26,72,31,246,-0.21544715447154472,0.008779500003949905,-0.24528301886792453,0.009210457489721493
2013-05-01,58,30,173,-0.1791907514450867,0.009690765723769595,-0.22943722943722944,0.008633753209768646
2013-05-06,135,34,206,-0.1407766990291262,0.007618938530277159,0.13196480938416422,0.021843813843879373
2013-05-11,60,12,157,-0.27388535031847133,0.007833823468560718,-0.22119815668202766,0.007085948433355963
2013-05-16,48,9,145,-0.25517241379310346,0.008984095604642561,-0.15544041450777202,0.008891332065637303
2013-05-21,131,53,241,-0.12863070539419086,0.009676380003661193,-0.13709677419354838,0.008210510953542168
2013-05-26,84,27,231,-0.09523809523809523,0.011897511372730318,-0.050793650793650794,0.012832972150295566
2013-05-31,92,21,168,-0.05357142857142857,0.010858347739581206,-0.057692307692307696,0.01102804294973229
2013-06-05,71,15,151,-0.019867549668874173,0.010709530855071677,-0.05855855855855856,0.010050631471266173
2013-06-10,66,8,118,-0.09322033898305085,0.0053003118023426865,0.0,0.0070793415566297565
2013-06-15,48,17,123,-0.3252032520325203,0.008704780184846035,-0.32748538011695905,0.008951042202199935
2013-06-20,47,18,83,-0.1566265060240964,0.011007649926649982,-0.17692307692307693,0.008842309819735768
2013-06-25,51,4,111,-0.23423423423423423,0.009047602985055598,-0.1111111111111111,0.00887552565354657
2013-06-30,82,21,131,-0.4198473282442748,0.010900177595577841,-0.4507042253521127,0.013457013144670146
2013-07-05,93,14,161,-0.18633540372670807,0.01041626686956537,-0.15354330708661418,0.012092921733571016
2013-07-10,69,5,95,-0.16842105263157894,0.011743024854479207,-0.10365853658536585,0.01326145167230887
2013-07-15,66,6,87,-0.3103448275862069,0.009229713122545051,-0.3006535947712418,0.009444497608000717
2013-07-20,60,13,88,-0.2840909090909091,0.003474753439978437,-0.2635135135135135,0.003581861355687163
2013-07-25,65,9,104,-0.09615384615384616,0.009659133268252658,-0.08875739644970414,0.010777670887791385
2013-07-30,53,16,67,-0.29850746268656714,0.004714121677448995,-0.225,0.0026391263361906707
2013-08-04,98,22,142,-0.20422535211267606,0.008695476013100679,-0.09583333333333334,0.009306817984670071
2013-08-09,79,24,106,-0.22641509433962265,0.009612181449553966,-0.07567567567567568,0.009930428873704484
2013-08-14,76,20,206,-0.21844660194174756,0.006975737230759292,-0.23049645390070922,0.008609745965810493
2013-08-19,130,33,463,-0.09935205183585313,0.0048064526201032284,-0.15008431703204048,0.005440525558349155
2013-08-24,255,74,615,-0.055284552845528454,0.008006839164554996,-0.07471264367816093,0.009104905032237086
2013-08-29,311,52,622,-0.0932475884244373,0.006750483845518335,-0.17041800643086816,0.006670143682241801
