time,retweets,favorites,amount_of_tweets,sentiment,sentiwordnet,weighted_sentiment,weighted_sentiwordnet
2013-03-05,0,0,2,-1.0,-0.00500801282051282,-1.0,-0.00500801282051282
2013-03-10,0,0,0,0.0,0.0,0.0,0.0
2013-03-15,0,0,0,0.0,0.0,0.0,0.0
2013-03-20,0,0,0,0.0,0.0,0.0,0.0
2013-03-25,0,0,0,0.0,0.0,0.0,0.0
2013-03-30,0,0,0,0.0,0.0,0.0,0.0
2013-04-04,0,0,1,1.0,0.039595170454545456,1.0,0.039595170454545456
2013-04-09,0,0,0,0.0,0.0,0.0,0.0
2013-04-14,0,0,2,0.0,0.001819546737060781,0.0,0.001819546737060781
2013-04-19,0,0,0,0.0,0.0,0.0,0.0
2013-04-24,0,0,0,0.0,0.0,0.0,0.0
2013-04-29,0,0,0,0.0,0.0,0.0,0.0
2013-05-04,0,0,0,0.0,0.0,0.0,0.0
2013-05-09,0,0,0,0.0,0.0,0.0,0.0
2013-05-14,0,0,0,0.0,0.0,0.0,0.0
2013-05-19,0,0,0,0.0,0.0,0.0,0.0
2013-05-24,0,0,0,0.0,0.0,0.0,0.0
2013-05-29,0,0,0,0.0,0.0,0.0,0.0
2013-06-03,0,0,0,0.0,0.0,0.0,0.0
2013-06-08,0,0,0,0.0,0.0,0.0,0.0
2013-06-13,0,0,0,0.0,0.0,0.0,0.0
2013-06-18,1,0,1,0.0,0.025797526041666668,0.0,0.025797526041666668
2013-06-23,0,0,0,0.0,0.0,0.0,0.0
2013-06-28,0,0,0,0.0,0.0,0.0,0.0
2013-07-03,0,0,0,0.0,0.0,0.0,0.0
2013-07-08,0,0,1,1.0,0.038604736328125,1.0,0.038604736328125
2013-07-13,0,0,0,0.0,0.0,0.0,0.0
2013-07-18,0,0,1,1.0,0.037679036458333336,1.0,0.037679036458333336
2013-07-23,0,0,0,0.0,0.0,0.0,0.0
2013-07-28,0,0,0,0.0,0.0,0.0,0.0
2013-08-02,0,0,0,0.0,0.0,0.0,0.0
2013-08-07,0,0,0,0.0,0.0,0.0,0.0
2013-08-12,0,0,0,0.0,0.0,0.0,0.0
2013-08-17,0,0,0,0.0,0.0,0.0,0.0
2013-08-22,0,0,0,0.0,0.0,0.0,0.0
