time,retweets,favorites,amount_of_tweets,sentiment,sentiwordnet,weighted_sentiment,weighted_sentiwordnet
2017-01-12 00:00:00,0,1,2,-1.0,0.01671279628168453,-1.0,0.01671279628168453
2017-01-12 06:00:00,2,0,2,1.0,0.002130681818181818,1.0,0.002130681818181818
2017-01-12 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-12 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-13 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-13 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-13 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-13 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-14 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-14 06:00:00,0,2,1,1.0,-0.0003255208333333333,1.0,-0.0003255208333333333
2017-01-14 12:00:00,0,0,1,-1.0,-0.002130681818181818,-1.0,-0.002130681818181818
2017-01-14 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-15 00:00:00,18,20,1,-1.0,0.0,-1.0,0.0
2017-01-15 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-15 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-15 18:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-16 00:00:00,21,19,1,-1.0,0.0,-1.0,0.0
2017-01-16 06:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-16 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2017-01-16 18:00:00,2,3,5,-0.6,0.031131557521657045,-0.7142857142857143,0.025376431380144986
2017-01-17 00:00:00,1,2,3,0.0,0.02804617349044744,0.25,0.032892889046407005
2017-01-17 06:00:00,21,22,7,-0.2857142857142857,0.03053195378631074,-0.8214285714285714,0.007632988446577685
2017-01-17 12:00:00,0,4,8,0.25,0.017919871012615746,0.25,0.017919871012615746
2017-01-17 18:00:00,5,16,14,-0.42857142857142855,0.02161689297359801,-0.15789473684210525,0.026842449408139086
2017-01-18 00:00:00,19,16,5,-0.6,0.0027030066287878794,-0.9166666666666666,0.0015100960779671718
2017-01-18 06:00:00,0,0,1,-1.0,0.013638442212885077,-1.0,0.013638442212885077
2017-01-18 12:00:00,1,2,8,-0.25,0.007107428462832887,-0.3333333333333333,0.005458005321663422
2017-01-18 18:00:00,30,36,15,0.0,0.010670830554352343,-0.15555555555555556,0.007996445297561675
2017-01-19 00:00:00,173,68,6,-0.3333333333333333,0.023513169540511025,-0.0111731843575419,0.021457526085781633
2017-01-19 06:00:00,0,3,2,0.0,0.05208524073788645,0.0,0.05208524073788645
2017-01-19 12:00:00,12,16,12,-0.5,0.030286787826192003,-0.75,0.042324990673592945
2017-01-19 18:00:00,9,12,18,-0.2777777777777778,0.024177602368120204,-0.25925925925925924,0.023916892148644876
2017-01-20 00:00:00,4,3,8,0.0,0.022677394875079863,-0.08333333333333333,0.02625604108094631
2017-01-20 06:00:00,4,8,6,-0.3333333333333333,0.058279612042474005,-0.6,0.051644024332703195
2017-01-20 12:00:00,13,19,7,0.2857142857142857,0.03200648880499692,0.4,0.030059531884323077
