time,retweets,favorites,amount_of_tweets,sentiment,sentiwordnet,weighted_sentiment,weighted_sentiwordnet
2014-06-04 12:00:00,0,0,1,-1.0,0.003125,-1.0,0.003125
2014-06-05 00:00:00,0,0,1,0.0,0.005636932073139396,0.0,0.005636932073139396
2014-06-05 12:00:00,0,2,2,-1.0,0.003125,-1.0,0.003125
2014-06-06 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-06 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-07 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-07 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-08 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-08 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-09 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-09 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-10 00:00:00,2,0,2,0.0,0.025702582465277776,0.0,0.025702582465277776
2014-06-10 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-11 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-11 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-12 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-12 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-13 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-13 12:00:00,2,1,1,-1.0,-0.00084228515625,-1.0,-0.0008422851562500002
2014-06-14 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-14 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-15 00:00:00,0,2,2,-0.5,0.03027026684253247,-0.5,0.03027026684253247
2014-06-15 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-16 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-16 12:00:00,3,0,3,-0.3333333333333333,0.04615830569464213,-0.6666666666666666,0.06714144939680024
2014-06-17 00:00:00,1,3,4,-0.25,0.009429103207193769,0.0,0.013793282664708039
2014-06-17 12:00:00,0,0,1,1.0,0.15383844716208323,1.0,0.15383844716208323
2014-06-18 00:00:00,0,0,1,-1.0,-0.0024542369646951556,-1.0,-0.0024542369646951556
2014-06-18 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-19 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-19 12:00:00,1,1,1,-1.0,0.011568509615384616,-1.0,0.011568509615384616
2014-06-20 00:00:00,2,2,1,-1.0,0.042317708333333336,-1.0,0.042317708333333336
2014-06-20 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-21 00:00:00,0,0,1,1.0,0.015775240384615384,1.0,0.015775240384615384
2014-06-21 12:00:00,1,0,2,1.0,0.03537495930989583,1.0,0.044901529947916664
2014-06-22 00:00:00,1,0,2,0.0,0.009268540602463942,-0.3333333333333333,0.015140240009014422
2014-06-22 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-23 00:00:00,3,2,5,0.0,0.01662792104061204,-0.375,0.008566482225903357
2014-06-23 12:00:00,0,2,1,0.0,-0.009207589285714286,0.0,-0.009207589285714286
2014-06-24 00:00:00,4,1,8,-0.375,-0.0008510695466445073,-0.5833333333333334,0.008082957160299513
2014-06-24 12:00:00,10,5,5,-0.6,0.023192882395925978,-0.8666666666666667,0.04509268398322756
2014-06-25 00:00:00,4,1,1,0.0,-0.0018382349448716816,0.0,-0.0018382349448716816
2014-06-25 12:00:00,3,2,1,-1.0,3.9581209421157836e-10,-1.0,3.9581209421157836e-10
2014-06-26 00:00:00,2,3,1,-1.0,0.004703297334558824,-1.0,0.004703297334558824
2014-06-26 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-27 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-27 12:00:00,0,0,1,0.0,2.7437622730548566e-05,0.0,2.7437622730548566e-05
2014-06-28 00:00:00,1,0,2,0.0,-0.022733163154622493,0.3333333333333333,-0.023793069338739082
2014-06-28 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-29 00:00:00,4,2,1,-1.0,-0.009765625,-1.0,-0.009765625
2014-06-29 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-06-30 00:00:00,7,3,4,-0.25,0.004529395577781174,-0.2727272727272727,0.0030111792313958705
2014-06-30 12:00:00,3,2,1,-1.0,0.010340073529411764,-1.0,0.010340073529411764
2014-07-01 00:00:00,4,1,2,-1.0,0.007101619944852941,-1.0,0.0071016199448529415
2014-07-01 12:00:00,2,0,3,-0.3333333333333333,0.016704154304834695,-0.6,0.02113360382594929
2014-07-02 00:00:00,12,6,4,-0.75,0.01871009230435603,-0.9375,0.023344013670001194
2014-07-02 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-03 00:00:00,2,0,1,-1.0,0.010340073529411764,-1.0,0.010340073529411764
2014-07-03 12:00:00,2,0,1,-1.0,0.04276315789473684,-1.0,0.04276315789473684
2014-07-04 00:00:00,3,2,2,-1.0,-0.004991319444444444,-1.0,-0.0030381944444444445
2014-07-04 12:00:00,0,0,2,0.0,0.025563736316381078,0.0,0.025563736316381078
2014-07-05 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-05 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-06 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-06 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-07 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-07 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-08 00:00:00,1,0,2,0.0,0.015013415404040404,-0.3333333333333333,0.012323758417508416
2014-07-08 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-09 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-09 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-10 00:00:00,0,0,2,-0.5,-2.3653226740220565e-05,-0.5,-2.3653226740220565e-05
2014-07-10 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-11 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-11 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-12 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-12 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-13 00:00:00,2,1,1,-1.0,0.006433823529411764,-1.0,0.006433823529411765
2014-07-13 12:00:00,0,0,1,-1.0,0.1556468904018402,-1.0,0.1556468904018402
2014-07-14 00:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-14 12:00:00,0,0,1,-1.0,0.052734375,-1.0,0.052734375
2014-07-15 00:00:00,6,2,3,1.0,0.01596020908531038,1.0,0.014351981290660442
2014-07-15 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-16 00:00:00,9,4,2,-1.0,0.024268618206572688,-1.0,0.026317027942523743
2014-07-16 12:00:00,0,0,0,0.0,0.0,0.0,0.0
2014-07-17 00:00:00,7,3,2,0.0,-0.019183749192737094,-0.7777777777777778,0.026030539052352527
2014-07-17 12:00:00,3,1,1,1.0,0.013495813377878883,1.0,0.013495813377878883
2014-07-18 00:00:00,3,0,3,0.0,0.011474622131278991,0.0,0.015464280466681163
2014-07-18 12:00:00,3,0,2,-1.0,0.005858778953552246,-1.0,0.004687023162841797
2014-07-19 00:00:00,3,3,2,-0.5,-0.0008544921875,-0.6,-0.00107421875
2014-07-19 12:00:00,4,2,1,-1.0,0.018624441964285716,-1.0,0.018624441964285716
