time,retweets,favorites,amount_of_tweets,sentiment,sentiwordnet,weighted_sentiment,weighted_sentiwordnet
2013-03-06,0,1,1,1.0,0.04989346590909091,1.0,0.04989346590909091
2013-03-11,0,0,0,0.0,0.0,0.0,0.0
2013-03-16,0,0,0,0.0,0.0,0.0,0.0
2013-03-21,0,0,0,0.0,0.0,0.0,0.0
2013-03-26,0,0,0,0.0,0.0,0.0,0.0
2013-03-31,0,0,0,0.0,0.0,0.0,0.0
2013-04-05,1,0,1,-1.0,0.0022786458333333326,-1.0,0.0022786458333333326
2013-04-10,0,0,1,1.0,0.05,1.0,0.05
2013-04-15,0,0,1,0.0,0.00440518061319987,0.0,0.00440518061319987
2013-04-20,2,5,3,-0.3333333333333333,0.020453260931776556,0.2,0.022415060525412086
2013-04-25,0,1,3,-0.6666666666666666,0.03892060630341881,-0.6666666666666666,0.03892060630341881
2013-04-30,0,0,0,0.0,0.0,0.0,0.0
2013-05-05,0,0,0,0.0,0.0,0.0,0.0
2013-05-10,0,1,1,-1.0,0.02248176063100497,-1.0,0.02248176063100497
2013-05-15,0,0,0,0.0,0.0,0.0,0.0
2013-05-20,0,0,1,-1.0,0.01615916619034992,-1.0,0.01615916619034992
2013-05-25,0,0,0,0.0,0.0,0.0,0.0
2013-05-30,0,0,0,0.0,0.0,0.0,0.0
2013-06-04,11,1,6,-0.16666666666666666,0.014138803497097565,-0.29411764705882354,0.032598050430095275
2013-06-09,0,1,3,-0.3333333333333333,0.019521956639759974,-0.3333333333333333,0.019521956639759974
2013-06-14,0,0,1,-1.0,-0.00625,-1.0,-0.00625
2013-06-19,0,0,0,0.0,0.0,0.0,0.0
2013-06-24,0,0,0,0.0,0.0,0.0,0.0
2013-06-29,0,0,0,0.0,0.0,0.0,0.0
2013-07-04,0,0,0,0.0,0.0,0.0,0.0
2013-07-09,0,0,0,0.0,0.0,0.0,0.0
2013-07-14,0,0,0,0.0,0.0,0.0,0.0
2013-07-19,0,1,1,1.0,-0.006930881076388889,1.0,-0.006930881076388889
2013-07-24,0,0,1,1.0,0.016796875,1.0,0.016796875
2013-07-29,4,1,1,-1.0,0.02614339192708333,-1.0,0.026143391927083325
2013-08-03,0,0,0,0.0,0.0,0.0,0.0
2013-08-08,0,0,0,0.0,0.0,0.0,0.0
2013-08-13,0,0,0,0.0,0.0,0.0,0.0
2013-08-18,0,0,0,0.0,0.0,0.0,0.0
2013-08-23,0,0,0,0.0,0.0,0.0,0.0
2013-08-28,0,0,1,1.0,-0.04817390422975502,1.0,-0.04817390422975502
2013-09-02,0,0,0,0.0,0.0,0.0,0.0
2013-09-07,2,0,1,1.0,0.0034713256690237252,1.0,0.003471325669023725
2013-09-12,0,0,0,0.0,0.0,0.0,0.0
2013-09-17,0,0,0,0.0,0.0,0.0,0.0
2013-09-22,4,0,1,-1.0,0.046875,-1.0,0.046875
2013-09-27,1,0,1,-1.0,8.481687733105252e-10,-1.0,8.481687733105252e-10
2013-10-02,2,1,1,1.0,6.975446428571428e-05,1.0,6.975446428571428e-05
2013-10-07,0,0,0,0.0,0.0,0.0,0.0
2013-10-12,23,5,5,-0.2,-0.00031198679986423354,-0.07142857142857142,-0.008290288911266253
2013-10-17,0,0,0,0.0,0.0,0.0,0.0
2013-10-22,0,0,2,0.0,-0.020616319444444444,0.0,-0.020616319444444444
2013-10-27,23,9,6,-0.16666666666666666,0.017493111394589225,-0.2413793103448276,0.012835379627324856
2013-11-01,0,0,0,0.0,0.0,0.0,0.0
2013-11-06,0,0,0,0.0,0.0,0.0,0.0
2013-11-11,0,0,0,0.0,0.0,0.0,0.0
2013-11-16,1,0,1,1.0,0.059465656677881874,1.0,0.059465656677881874
2013-11-21,15,9,2,0.0,0.025781093499599363,-0.8823529411764706,-0.00712748854048831
2013-11-26,0,0,2,0.0,-0.010964133522727272,0.0,-0.010964133522727272
2013-12-01,28,12,22,-0.2727272727272727,0.009157387227966225,-0.26,0.007368052040884143
2013-12-06,24,9,24,0.25,0.01607954475167451,0.22916666666666666,0.01840622826022302
2013-12-11,12,7,13,0.3076923076923077,-0.0035365769178248058,0.08,0.004327135304338674
2013-12-16,23,10,11,0.36363636363636365,0.011511989069251516,0.29411764705882354,0.010474014733622746
2013-12-21,16,11,19,-0.15789473684210525,0.014297472888324593,-0.3142857142857143,0.011853962493080005
2013-12-26,1,1,3,0.0,0.013914137620192307,0.25,0.010752986027644231
2013-12-31,12,4,9,0.4444444444444444,0.013538523018516926,0.5714285714285714,0.01904698822885435
2014-01-05,5,2,6,-0.16666666666666666,0.028505595267419626,-0.36363636363636365,0.023784972476094433
2014-01-10,2,3,2,0.0,0.01402005282315341,0.0,0.01402005282315341
2014-01-15,17,2,12,0.25,0.017382613151592972,0.06896551724137931,0.02132064965210668
2014-01-20,14,10,12,0.3333333333333333,0.015345477484464071,0.6153846153846154,0.012801484821347948
2014-01-25,6,4,8,0.375,0.007423863704382415,0.42857142857142855,0.011081485219983542
2014-01-30,1,1,4,-0.25,0.011554733841900812,-0.2,0.005077120406853984
2014-02-04,10,6,5,0.0,0.0066152640812585815,0.3333333333333333,-0.0025486998517016855
2014-02-09,4,3,5,-0.2,0.0033727389741438794,0.1111111111111111,0.001100110227355574
2014-02-14,22,8,5,0.6,0.003951655982905982,0.5555555555555556,0.004946927429566317
2014-02-19,3,1,5,0.6,0.01368907971204708,0.75,0.00966875486610434
2014-02-24,6,2,132,-0.5757575757575758,-0.002976300764913025,-0.5434782608695652,-0.002174318552726778
2014-03-01,2,0,181,-0.6685082872928176,0.008362713685001754,-0.6666666666666666,0.008100552879701189
2014-03-06,3,0,4,-0.25,0.004121307633880876,-0.5714285714285714,0.002355032933646215
2014-03-11,6,5,4,-0.5,0.021877958101015192,-0.6,0.026290622444818845
2014-03-16,4,3,7,0.7142857142857143,0.004694183931767638,0.6363636363636364,0.006483243984353715
2014-03-21,9,14,6,0.3333333333333333,0.010244683860055297,0.4666666666666667,0.002673885933248512
2014-03-26,4,3,10,-0.8,0.029060160480212233,-0.8571428571428571,0.01956833139459604
2014-03-31,3,0,23,-0.043478260869565216,0.016101543225302134,-0.07692307692307693,0.015402755082687632
2014-04-05,5,2,92,0.0,0.02175085150591571,-0.05154639175257732,0.021613170498730055
2014-04-10,0,0,29,0.0,0.02346435817634412,0.0,0.02346435817634412
2014-04-15,0,0,3,-0.6666666666666666,0.021905147668087124,-0.6666666666666666,0.021905147668087124
2014-04-20,7,8,4,0.25,0.03326458431683577,0.18181818181818182,0.024507709925965685
2014-04-25,0,0,2,0.0,0.005573000307783563,0.0,0.005573000307783563
2014-04-30,0,0,2,0.0,0.01422119140625,0.0,0.01422119140625
2014-05-05,1,0,2,1.0,0.007212611607142857,1.0,0.0054827008928571425
2014-05-10,1,0,6,-0.5,0.011524678634518908,-0.5714285714285714,0.012203444781968586
2014-05-15,2,4,5,-0.2,0.007484683827457266,-0.42857142857142855,0.009802737952152014
2014-05-20,14,11,21,0.7142857142857143,0.0002352602031731498,0.7142857142857143,0.009891723015327926
2014-05-25,13,8,9,-0.1111111111111111,0.015169318378708592,-0.13636363636363635,0.012476456014936322
2014-05-30,6,7,7,0.14285714285714285,0.005270598197574325,0.07692307692307693,0.0002869796334294443
2014-06-04,3,4,5,0.2,0.016989524147727274,0.125,0.016983864524147727
2014-06-09,8,6,6,0.6666666666666666,0.022601410694056915,0.5714285714285714,0.018498309571388195
2014-06-14,4,12,7,0.7142857142857143,0.0032651573602341297,0.6363636363636364,-0.0053085362253055554
2014-06-19,1,2,3,0.6666666666666666,0.007424379006410256,0.75,0.011136568509615384
2014-06-24,1,0,2,-0.5,0.026129150390625,-0.6666666666666666,0.03067220052083333
2014-06-29,2,2,4,0.0,0.012609125217516195,0.16666666666666666,0.01598947156282827
2014-07-04,1,1,1,1.0,0.027557373046875,1.0,0.027557373046875
2014-07-09,3,1,2,0.5,0.010138878455528846,0.8,0.006399301382211539
2014-07-14,16,7,5,0.2,0.0315019382148996,0.14285714285714285,0.04466773147739647
2014-07-19,18,9,7,0.14285714285714285,0.0067405757774248315,-0.4,-0.002108104861043608
2014-07-24,5,6,3,-0.6666666666666666,0.005284079294356088,-0.75,0.007210456757318405
2014-07-29,0,1,1,-1.0,0.004743303571428571,-1.0,0.004743303571428571
2014-08-03,6,6,11,-0.6363636363636364,0.027434327078192485,-0.7647058823529411,0.019096655559974293
2014-08-08,14,13,13,0.3076923076923077,0.019850824903035098,0.5185185185185185,0.017975809789872454
2014-08-13,1,0,5,0.0,0.006545366494458316,-0.16666666666666666,0.004837415896778711
2014-08-18,8,8,15,-0.13333333333333333,0.00898492603329847,-0.391304347826087,0.0066763622264373376
