Coin,Unfiltered Tweets,Removed Duplicates,Including Word Filter,Excluding Word Filter,Relevant Tweets
Cardano,560409,504480,241726,112530,20.08%
Bitcoin Cash,326542,299986,254248,129627,39.70%
Bytecoin,1168484,926525,141075,45472,3.89%
Bitcoin,11389796,5087284,5086683,2487657,21.84%
Dash,1342236,1003986,263615,138694,10.33%
EOS,573585,528325,292551,148901,25.96%
Etherium Classic,633017,557524,193065,92109,14.55%
Etherium,2151046,1658537,1499941,720025,33.47%
ICON,42776,40771,29802,14063,32.88%
IOTA,10555810,9513361,3254599,1839178,17.42%
Litecoin,1121370,947365,844684,452868,40.39%
NEO,541284,464593,273812,134255,24.80%
Qtum,44897,40946,34499,18971,42.25%
TRON,862720,702463,400155,154748,17.94%
VeChain,500078,420108,39415,17154,3.43%
NEM,232741,197784,147664,43658,18.76%
Stellar,211704,196000,175615,73345,34.65%
Monero,174523,156809,142900,87873,50.35%
Ripple,1291707,1081832,856002,372032,28.80%
Zcash,74667,65660,49438,33196,44.46%
